,Date,Game,Time,Result
0,20/08/2011,מכבי נתניה - מכבי חיפה,17:15,4-1
1,20/08/2011,"הפועל עכו - בני יהודה ת""א",19:30,0-2
2,20/08/2011,"הפועל חיפה - הפועל ק""ש",19:30,1-0
3,20/08/2011,"הפועל ראשל""צ - בני סכנין",20:00,2-4
4,21/08/2011,"הפועל פ""ת - מכבי ת""א",20:00,3-1
5,22/08/2011,"הפועל ת""א - מכבי ע. פ""ת",20:50,1-4
6,27/08/2011,"מכבי חיפה - הפועל פ""ת",17:15,2-2
7,27/08/2011,"בית""ר י-ם - הפועל עכו",19:30,1-3
8,27/08/2011,"הפועל ק""ש - מכבי נתניה",19:30,3-1
9,27/08/2011,"הפועל ניר רמה""ש - הפועל ראשל""צ",19:30,2-1
10,27/08/2011,"בני סכנין - הפועל ב""ש",20:33,3-4
11,28/08/2011,"מכבי ע. פ""ת - הפועל חיפה",19:00,1-2
12,28/08/2011,"בני יהודה ת""א - הפועל ת""א",20:50,1-1
13,29/08/2011,"מכבי ת""א - מ.ס. אשדוד",20:00,0-4
14,30/08/2011,"הפועל ב""ש - בית""ר י-ם",20:00,1-0
15,10/09/2011,"הפועל ראשל""צ - מכבי ת""א",17:00,2-0
16,10/09/2011,מ.ס. אשדוד - מכבי חיפה,19:10,0-1
17,10/09/2011,"הפועל חיפה - בני יהודה ת""א",19:30,2-0
18,10/09/2011,"מכבי נתניה - מכבי ע. פ""ת",19:30,1-0
19,10/09/2011,"הפועל פ""ת - הפועל ק""ש",19:30,1-1
20,10/09/2011,"בני סכנין - הפועל ניר רמה""ש",19:30,0-3
21,11/09/2011,"הפועל ת""א - בית""ר י-ם",20:50,0-1
22,12/09/2011,"הפועל עכו - הפועל ב""ש",19:50,0-2
23,13/09/2011,"מ.ס. אשדוד - הפועל ניר רמה""ש",19:00,0-2
24,17/09/2011,"מכבי ע. פ""ת - הפועל פ""ת",17:00,1-1
25,17/09/2011,"בני יהודה ת""א - מכבי נתניה",19:30,2-1
26,17/09/2011,"הפועל ק""ש - מ.ס. אשדוד",19:30,0-0
27,17/09/2011,"הפועל ב""ש - הפועל ניר רמה""ש",19:30,3-1
28,17/09/2011,"בית""ר י-ם - הפועל חיפה",20:47,0-1
29,18/09/2011,"הפועל עכו - הפועל ת""א",19:00,2-0
30,18/09/2011,"מכבי חיפה - הפועל ראשל""צ",20:00,1-3
31,18/09/2011,"מכבי ת""א - בני סכנין",20:50,0-2
32,21/09/2011,"הפועל ניר רמה""ש - מכבי ת""א",19:00,1-3
33,21/09/2011,הפועל חיפה - הפועל עכו,19:30,4-2
34,21/09/2011,"הפועל פ""ת - בני יהודה ת""א",19:30,1-0
35,21/09/2011,"מ.ס. אשדוד - מכבי ע. פ""ת",19:30,3-1
36,21/09/2011,"הפועל ראשל""צ - הפועל ק""ש",19:30,1-1
37,21/09/2011,"הפועל ת""א - הפועל ב""ש",19:45,0-2
38,21/09/2011,"מכבי נתניה - בית""ר י-ם",20:34,1-1
39,21/09/2011,בני סכנין - מכבי חיפה,21:00,0-2
40,24/09/2011,"הפועל ת""א - הפועל חיפה",17:00,0-0
41,24/09/2011,הפועל עכו - מכבי נתניה,19:00,2-1
42,24/09/2011,"בית""ר י-ם - הפועל פ""ת",19:30,2-1
43,24/09/2011,"הפועל ק""ש - בני סכנין",19:30,0-0
44,24/09/2011,"מכבי חיפה - הפועל ניר רמה""ש",19:30,0-5
45,25/09/2011,"הפועל ב""ש - מכבי ת""א",20:50,4-1
46,26/09/2011,"מכבי ע. פ""ת - הפועל ראשל""צ",19:30,2-2
47,26/09/2011,"בני יהודה ת""א - מ.ס. אשדוד",20:00,0-1
48,01/10/2011,"הפועל חיפה - הפועל ב""ש",17:00,2-0
49,01/10/2011,"הפועל פ""ת - הפועל עכו",19:30,0-0
50,01/10/2011,"מ.ס. אשדוד - בית""ר י-ם",19:30,0-3
51,01/10/2011,"הפועל ראשל""צ - בני יהודה ת""א",19:30,1-0
52,01/10/2011,"הפועל ניר רמה""ש - הפועל ק""ש",19:30,1-0
53,02/10/2011,"בני סכנין - מכבי ע. פ""ת",19:30,0-3
54,03/10/2011,"מכבי נתניה - הפועל ת""א",19:30,1-2
55,03/10/2011,"מכבי ת""א - מכבי חיפה",20:50,1-1
56,15/10/2011,"בני יהודה ת""א - בני סכנין",15:30,1-1
57,15/10/2011,"הפועל ב""ש - מכבי חיפה",17:00,1-1
58,15/10/2011,הפועל חיפה - מכבי נתניה,19:30,1-1
59,15/10/2011,"הפועל ת""א - הפועל פ""ת",19:30,0-5
60,15/10/2011,הפועל עכו - מ.ס. אשדוד,19:30,2-2
61,15/10/2011,"מכבי ע. פ""ת - הפועל ניר רמה""ש",19:30,3-2
62,16/10/2011,"הפועל ק""ש - מכבי ת""א",20:50,1-2
63,17/10/2011,"בית""ר י-ם - הפועל ראשל""צ",20:00,1-1
64,22/10/2011,"מכבי נתניה - הפועל ב""ש",19:30,1-2
65,22/10/2011,"הפועל פ""ת - הפועל חיפה",19:30,1-0
66,22/10/2011,"הפועל ראשל""צ - הפועל עכו",19:30,3-0
67,22/10/2011,"הפועל ניר רמה""ש - בני יהודה ת""א",19:30,1-2
68,23/10/2011,"מכבי חיפה - הפועל ק""ש",18:57,3-0
69,23/10/2011,"מ.ס. אשדוד - הפועל ת""א",20:00,0-2
70,23/10/2011,"מכבי ת""א - מכבי ע. פ""ת",20:50,0-1
71,24/10/2011,"בני סכנין - בית""ר י-ם",20:50,0-3
72,29/10/2011,"הפועל ת""א - הפועל ראשל""צ",17:30,0-6
73,29/10/2011,"מכבי נתניה - הפועל פ""ת",19:30,1-1
74,29/10/2011,הפועל חיפה - מ.ס. אשדוד,19:30,2-2
75,29/10/2011,הפועל עכו - בני סכנין,19:30,1-2
76,29/10/2011,"מכבי ע. פ""ת - מכבי חיפה",19:30,4-1
77,29/10/2011,"הפועל ב""ש - הפועל ק""ש",19:30,3-0
78,30/10/2011,"בית""ר י-ם - הפועל ניר רמה""ש",20:00,1-0
79,31/10/2011,"בני יהודה ת""א - מכבי ת""א",20:50,0-0
80,05/11/2011,מ.ס. אשדוד - מכבי נתניה,19:00,1-2
81,05/11/2011,"הפועל ראשל""צ - הפועל חיפה",19:00,1-1
82,05/11/2011,"הפועל ניר רמה""ש - הפועל עכו",19:00,1-1
83,05/11/2011,"הפועל ק""ש - מכבי ע. פ""ת",19:00,1-1
84,05/11/2011,"הפועל פ""ת - הפועל ב""ש",19:30,0-2
85,06/11/2011,"מכבי חיפה - בני יהודה ת""א",20:00,1-1
86,06/11/2011,"בני סכנין - הפועל ת""א",20:32,1-0
87,07/11/2011,"מכבי ת""א - בית""ר י-ם",20:50,1-0
88,19/11/2011,"בני יהודה ת""א - הפועל ק""ש",15:00,1-0
89,19/11/2011,"הפועל עכו - מכבי ת""א",17:05,0-3
90,19/11/2011,"הפועל פ""ת - מ.ס. אשדוד",19:00,1-0
91,19/11/2011,"מכבי נתניה - הפועל ראשל""צ",19:00,2-6
92,19/11/2011,הפועל חיפה - בני סכנין,19:00,2-1
93,19/11/2011,"הפועל ב""ש - מכבי ע. פ""ת",19:00,0-0
94,20/11/2011,"הפועל ת""א - הפועל ניר רמה""ש",20:00,0-0
95,21/11/2011,"בית""ר י-ם - מכבי חיפה",20:50,4-1
96,26/11/2011,"הפועל ק""ש - בית""ר י-ם",17:00,0-1
97,26/11/2011,"מ.ס. אשדוד - הפועל ב""ש",19:00,0-2
98,26/11/2011,"הפועל ראשל""צ - הפועל פ""ת",19:00,0-0
99,26/11/2011,בני סכנין - מכבי נתניה,19:00,1-1
100,26/11/2011,"הפועל ניר רמה""ש - הפועל חיפה",19:30,0-2
101,26/11/2011,מכבי חיפה - הפועל עכו,19:30,0-1
102,27/11/2011,"מכבי ת""א - הפועל ת""א",20:50,3-1
103,28/11/2011,"מכבי ע. פ""ת - בני יהודה ת""א",20:00,0-1
104,03/12/2011,"הפועל עכו - הפועל ק""ש",17:00,2-1
105,03/12/2011,"מ.ס. אשדוד - הפועל ראשל""צ",19:00,1-2
106,03/12/2011,"הפועל פ""ת - בני סכנין",19:00,2-1
107,03/12/2011,"מכבי נתניה - הפועל ניר רמה""ש",19:00,2-0
108,03/12/2011,"הפועל ב""ש - בני יהודה ת""א",19:00,1-3
