,Date,Game,Time,Result
0,25/08/2012,"הפועל ב""ש - בני סכנין",17:50,0-0
1,25/08/2012,הפועל חיפה - מכבי נתניה,18:00,0-0
2,25/08/2012,"מ.ס. אשדוד - הפועל ניר רמה""ש",18:00,0-2
3,25/08/2012,"הפועל עכו - בני יהודה ת""א",18:00,1-1
4,25/08/2012,"הפועל ק""ש - בית""ר י-ם",20:00,2-3
5,26/08/2012,"הפועל ר""ג אסי - הפועל ת""א",20:10,1-0
6,27/08/2012,"מכבי ת""א - מכבי חיפה",20:50,1-2
7,01/09/2012,"מכבי חיפה - הפועל ק""ש",17:47,3-1
8,01/09/2012,בני סכנין - מ.ס. אשדוד,18:00,3-1
9,01/09/2012,"הפועל ניר רמה""ש - הפועל עכו",18:00,1-3
10,01/09/2012,"בני יהודה ת""א - הפועל ר""ג אסי",18:00,0-1
11,01/09/2012,"בית""ר י-ם - הפועל ב""ש",20:00,1-1
12,02/09/2012,"הפועל ת""א - הפועל חיפה",20:10,0-2
13,03/09/2012,"מכבי נתניה - מכבי ת""א",20:52,1-0
14,13/09/2012,"מ.ס. אשדוד - בית""ר י-ם",20:00,1-2
15,15/09/2012,"הפועל חיפה - מכבי ת""א",16:49,3-1
16,15/09/2012,"הפועל ק""ש - מכבי נתניה",18:00,1-0
17,15/09/2012,הפועל עכו - בני סכנין,18:00,1-5
18,15/09/2012,"הפועל ר""ג אסי - הפועל ניר רמה""ש",18:00,1-1
19,15/09/2012,"הפועל ת""א - בני יהודה ת""א",19:00,0-2
20,15/09/2012,"הפועל ב""ש - מכבי חיפה",20:45,1-1
21,22/09/2012,"מכבי נתניה - הפועל ב""ש",18:00,1-2
22,22/09/2012,"בני סכנין - הפועל ר""ג אסי",18:00,3-1
23,22/09/2012,"בני יהודה ת""א - הפועל חיפה",18:00,1-3
24,22/09/2012,מכבי חיפה - מ.ס. אשדוד,18:40,1-0
25,22/09/2012,"בית""ר י-ם - הפועל עכו",20:00,1-0
26,23/09/2012,"הפועל ניר רמה""ש - הפועל ת""א",20:02,0-1
27,24/09/2012,"מכבי ת""א - הפועל ק""ש",20:50,0-4
28,29/09/2012,"הפועל ת""א - בני סכנין",16:00,0-1
29,29/09/2012,"הפועל חיפה - הפועל ק""ש",18:00,1-1
30,29/09/2012,מ.ס. אשדוד - מכבי נתניה,18:00,0-3
31,29/09/2012,הפועל עכו - מכבי חיפה,18:05,0-0
32,29/09/2012,"בני יהודה ת""א - הפועל ניר רמה""ש",20:00,2-2
33,29/09/2012,"הפועל ר""ג אסי - בית""ר י-ם",20:10,2-2
34,01/10/2012,"הפועל ב""ש - מכבי ת""א",20:50,1-3
35,06/10/2012,"מכבי חיפה - הפועל ר""ג אסי",17:40,0-2
36,06/10/2012,מכבי נתניה - הפועל עכו,18:00,3-1
37,06/10/2012,"בני סכנין - בני יהודה ת""א",18:00,2-2
38,06/10/2012,"הפועל ניר רמה""ש - הפועל חיפה",18:00,0-2
39,06/10/2012,"מכבי ת""א - מ.ס. אשדוד",20:00,1-2
40,20/10/2012,"הפועל חיפה - הפועל ב""ש",18:00,0-0
41,20/10/2012,"מ.ס. אשדוד - הפועל ק""ש",18:00,0-2
