,Date,Game,Time,Result
0,19/08/2017,"מ.ס. אשדוד - מכבי ע. פ""ת",18:00,2-1
1,19/08/2017,"הפועל רעננה - הפועל ק""ש",19:00,0-0
2,19/08/2017,הפועל חיפה - הפועל ע. אשקלון,19:15,1-3
3,19/08/2017,"הפועל ב""ש - מכבי נתניה",20:30,1-1
4,20/08/2017,הפועל עכו - בני סכנין,19:00,2-1
5,20/08/2017,"מכבי ת""א - בית""ר י-ם",21:00,3-0
6,21/08/2017,"בני יהודה ת""א - מכבי חיפה",20:30,0-2
7,26/08/2017,בני סכנין - הפועל רעננה,18:00,1-2
8,26/08/2017,"הפועל ע. אשקלון - בני יהודה ת""א",19:20,1-1
9,26/08/2017,"מכבי ע. פ""ת - הפועל חיפה",20:30,2-0
10,26/08/2017,מכבי נתניה - הפועל עכו,20:30,2-2
11,27/08/2017,"הפועל ק""ש - מכבי ת""א",20:14,2-1
12,27/08/2017,"מכבי חיפה - הפועל ב""ש",21:00,1-3
13,28/08/2017,"בית""ר י-ם - מ.ס. אשדוד",20:30,1-4
14,09/09/2017,"מכבי ת""א - בני סכנין",18:00,0-2
15,09/09/2017,"הפועל חיפה - בני יהודה ת""א",19:15,1-2
16,09/09/2017,"מ.ס. אשדוד - הפועל ק""ש",19:15,2-0
17,09/09/2017,"הפועל ב""ש - הפועל ע. אשקלון",20:30,0-1
18,10/09/2017,הפועל רעננה - מכבי נתניה,19:00,3-0
19,10/09/2017,הפועל עכו - מכבי חיפה,20:15,0-2
20,11/09/2017,"מכבי ע. פ""ת - בית""ר י-ם",21:00,2-1
21,16/09/2017,"הפועל ק""ש - מכבי ע. פ""ת",18:00,1-3
22,16/09/2017,מכבי חיפה - הפועל רעננה,19:00,2-4
23,16/09/2017,הפועל ע. אשקלון - הפועל עכו,19:30,1-2
24,16/09/2017,"בית""ר י-ם - הפועל חיפה",20:30,3-3
25,17/09/2017,בני סכנין - מ.ס. אשדוד,19:00,0-0
26,17/09/2017,"בני יהודה ת""א - הפועל ב""ש",20:15,1-0
27,18/09/2017,"מכבי נתניה - מכבי ת""א",21:02,3-2
28,23/09/2017,"הפועל עכו - בני יהודה ת""א",18:00,1-1
29,23/09/2017,הפועל רעננה - הפועל ע. אשקלון,19:00,3-0
30,23/09/2017,מ.ס. אשדוד - מכבי נתניה,19:17,3-0
31,23/09/2017,"הפועל חיפה - הפועל ב""ש",20:31,1-1
32,24/09/2017,"מכבי ע. פ""ת - בני סכנין",19:00,0-1
33,24/09/2017,"מכבי ת""א - מכבי חיפה",21:00,0-0
34,25/09/2017,"בית""ר י-ם - הפועל ק""ש",20:30,1-1
35,01/10/2017,"בני יהודה ת""א - הפועל רעננה",19:00,0-1
36,01/10/2017,"הפועל ק""ש - הפועל חיפה",20:00,1-0
37,01/10/2017,מכבי חיפה - מ.ס. אשדוד,20:03,0-1
38,01/10/2017,"הפועל ע. אשקלון - מכבי ת""א",21:00,2-2
39,02/10/2017,"מכבי נתניה - מכבי ע. פ""ת",20:15,0-4
40,02/10/2017,"בני סכנין - בית""ר י-ם",21:00,2-3
41,14/10/2017,"מכבי ע. פ""ת - מכבי חיפה",18:00,2-2
42,14/10/2017,הפועל חיפה - הפועל עכו,18:33,0-4
43,14/10/2017,מ.ס. אשדוד - הפועל ע. אשקלון,19:02,1-1
