,Date,Game,Time,Result
44,14/10/2017,"הפועל רעננה - הפועל ב""ש",20:30,3-1
45,15/10/2017,"הפועל ק""ש - בני סכנין",19:00,0-0
46,15/10/2017,"מכבי ת""א - בני יהודה ת""א",20:15,0-2
47,16/10/2017,"בית""ר י-ם - מכבי נתניה",21:00,1-4
48,21/10/2017,"בני יהודה ת""א - מ.ס. אשדוד",16:00,2-1
49,21/10/2017,הפועל עכו - הפועל רעננה,18:00,2-0
50,21/10/2017,"מכבי נתניה - הפועל ק""ש",18:15,1-3
51,21/10/2017,"מכבי חיפה - בית""ר י-ם",20:30,2-1
52,22/10/2017,"הפועל ע. אשקלון - מכבי ע. פ""ת",19:01,3-1
53,22/10/2017,בני סכנין - הפועל חיפה,20:15,1-0
54,23/10/2017,"הפועל ב""ש - מכבי ת""א",21:00,1-2
55,28/10/2017,בני סכנין - מכבי נתניה,16:00,0-0
56,28/10/2017,הפועל חיפה - הפועל רעננה,18:00,0-2
57,28/10/2017,"הפועל ק""ש - מכבי חיפה",18:15,0-1
58,28/10/2017,"בית""ר י-ם - הפועל ע. אשקלון",20:30,0-2
59,29/10/2017,"מכבי ת""א - הפועל עכו",20:10,2-5
60,29/10/2017,"מ.ס. אשדוד - הפועל ב""ש",21:00,3-1
61,30/10/2017,"מכבי ע. פ""ת - בני יהודה ת""א",21:00,2-1
62,04/11/2017,הפועל עכו - מ.ס. אשדוד,16:00,0-1
63,04/11/2017,מכבי נתניה - הפועל חיפה,18:15,0-2
64,04/11/2017,"בני יהודה ת""א - בית""ר י-ם",20:32,2-3
65,05/11/2017,"מכבי ע. פ""ת - הפועל ב""ש",20:00,2-0
66,05/11/2017,"הפועל רעננה - מכבי ת""א",20:32,1-0
67,05/11/2017,מכבי חיפה - בני סכנין,21:00,0-2
68,06/11/2017,"הפועל ע. אשקלון - הפועל ק""ש",19:45,0-0
69,18/11/2017,"הפועל ב""ש - הפועל עכו",20:30,1-3
70,25/11/2017,בני סכנין - הפועל ע. אשקלון,16:00,1-2
71,25/11/2017,"הפועל ק""ש - בני יהודה ת""א",18:18,1-2
72,25/11/2017,"הפועל עכו - מכבי ע. פ""ת",20:30,3-0
73,25/11/2017,מכבי נתניה - מכבי חיפה,20:30,1-1
74,26/11/2017,מ.ס. אשדוד - הפועל רעננה,19:00,1-0
75,26/11/2017,"הפועל חיפה - מכבי ת""א",20:15,2-2
76,27/11/2017,"בית""ר י-ם - הפועל ב""ש",21:00,2-2
77,02/12/2017,"מכבי ת""א - מ.ס. אשדוד",16:00,1-1
78,02/12/2017,"בני יהודה ת""א - בני סכנין",18:00,0-3
79,02/12/2017,הפועל ע. אשקלון - מכבי נתניה,18:17,1-1
80,02/12/2017,"הפועל עכו - בית""ר י-ם",20:30,3-1
81,03/12/2017,"הפועל רעננה - מכבי ע. פ""ת",19:00,0-0
82,03/12/2017,"הפועל ב""ש - הפועל ק""ש",20:15,1-3
83,04/12/2017,הפועל חיפה - מכבי חיפה,21:03,0-1
84,09/12/2017,מ.ס. אשדוד - הפועל חיפה,16:00,1-1
85,09/12/2017,"מכבי נתניה - בני יהודה ת""א",16:00,2-1
86,09/12/2017,מכבי חיפה - הפועל ע. אשקלון,18:18,1-1
87,09/12/2017,"בית""ר י-ם - הפועל רעננה",20:30,2-3
88,10/12/2017,"הפועל ק""ש - הפועל עכו",19:00,0-4
89,10/12/2017,"בני סכנין - הפועל ב""ש",20:15,3-1
90,11/12/2017,"מכבי ע. פ""ת - מכבי ת""א",21:00,0-0
91,16/12/2017,"מכבי ע. פ""ת - מ.ס. אשדוד",16:00,1-1
92,16/12/2017,בני סכנין - הפועל עכו,18:00,1-2
93,16/12/2017,הפועל ע. אשקלון - הפועל חיפה,18:15,0-0
94,16/12/2017,"מכבי חיפה - בני יהודה ת""א",20:30,2-0
95,17/12/2017,"הפועל ק""ש - הפועל רעננה",19:00,2-0
96,17/12/2017,"מכבי נתניה - הפועל ב""ש",20:30,0-1
97,18/12/2017,"בית""ר י-ם - מכבי ת""א",21:00,2-1
98,23/12/2017,הפועל עכו - מכבי נתניה,16:00,3-0
99,23/12/2017,"בני יהודה ת""א - הפועל ע. אשקלון",18:00,1-3
100,23/12/2017,"הפועל חיפה - מכבי ע. פ""ת",18:15,0-2
101,23/12/2017,"מכבי ת""א - הפועל ק""ש",20:30,1-2
102,24/12/2017,הפועל רעננה - בני סכנין,19:00,1-1
103,24/12/2017,"מ.ס. אשדוד - בית""ר י-ם",20:15,3-1
104,25/12/2017,"הפועל ב""ש - מכבי חיפה",21:00,0-2
105,30/12/2017,"בני יהודה ת""א - הפועל חיפה",16:00,1-0
106,30/12/2017,מכבי חיפה - הפועל עכו,18:15,1-0
107,30/12/2017,מכבי נתניה - הפועל רעננה,18:15,2-2
108,30/12/2017,"בית""ר י-ם - מכבי ע. פ""ת",20:30,0-1
109,31/12/2017,"הפועל ק""ש - מ.ס. אשדוד",19:00,2-1
110,31/12/2017,"הפועל ע. אשקלון - הפועל ב""ש",20:15,1-0
111,01/01/2018,"בני סכנין - מכבי ת""א",21:00,1-0
112,08/01/2018,מ.ס. אשדוד - בני סכנין,19:00,2-1
113,08/01/2018,הפועל עכו - הפועל ע. אשקלון,19:00,1-0
114,08/01/2018,"הפועל חיפה - בית""ר י-ם",20:30,2-0
115,09/01/2018,"מכבי ע. פ""ת - הפועל ק""ש",19:00,0-2
116,09/01/2018,"הפועל ב""ש - בני יהודה ת""א",20:00,0-0
117,09/01/2018,"מכבי ת""א - מכבי נתניה",21:00,0-3
118,10/01/2018,הפועל רעננה - מכבי חיפה,20:30,3-0
119,13/01/2018,"בני יהודה ת""א - הפועל עכו",16:00,1-2
120,13/01/2018,"בני סכנין - מכבי ע. פ""ת",18:00,2-0
121,13/01/2018,מכבי נתניה - מ.ס. אשדוד,18:15,2-2
122,13/01/2018,"הפועל ק""ש - בית""ר י-ם",20:33,1-1
123,14/01/2018,הפועל ע. אשקלון - הפועל רעננה,19:00,1-0
124,14/01/2018,"הפועל ב""ש - הפועל חיפה",20:30,1-1
125,15/01/2018,"מכבי חיפה - מכבי ת""א",21:00,3-1
126,20/01/2018,"הפועל חיפה - הפועל ק""ש",16:00,2-0
127,20/01/2018,"הפועל רעננה - בני יהודה ת""א",18:00,1-1
128,20/01/2018,מ.ס. אשדוד - מכבי חיפה,18:15,0-0
129,20/01/2018,"הפועל עכו - הפועל ב""ש",20:30,1-0
130,21/01/2018,"מכבי ע. פ""ת - מכבי נתניה",19:02,1-1
131,21/01/2018,"מכבי ת""א - הפועל ע. אשקלון",20:30,1-3
132,22/01/2018,"בית""ר י-ם - בני סכנין",21:00,2-4
133,27/01/2018,הפועל עכו - הפועל חיפה,16:00,1-0
134,27/01/2018,הפועל ע. אשקלון - מ.ס. אשדוד,18:02,2-1
135,27/01/2018,"מכבי חיפה - מכבי ע. פ""ת",18:15,1-1
136,27/01/2018,"הפועל ב""ש - הפועל רעננה",20:31,1-3
137,28/01/2018,"בני סכנין - הפועל ק""ש",19:00,2-1
138,28/01/2018,"בני יהודה ת""א - מכבי ת""א",20:30,0-0
139,29/01/2018,"מכבי נתניה - בית""ר י-ם",21:00,1-2
140,03/02/2018,הפועל חיפה - בני סכנין,16:00,0-1
141,03/02/2018,הפועל רעננה - הפועל עכו,18:00,1-0
142,03/02/2018,"הפועל ק""ש - מכבי נתניה",18:15,2-1
143,03/02/2018,"בית""ר י-ם - מכבי חיפה",20:30,1-3
144,04/02/2018,"מ.ס. אשדוד - בני יהודה ת""א",19:30,1-1
145,04/02/2018,"מכבי ת""א - הפועל ב""ש",21:00,0-1
146,05/02/2018,"מכבי ע. פ""ת - הפועל ע. אשקלון",20:00,0-3
147,10/02/2018,הפועל רעננה - הפועל חיפה,16:00,1-1
148,10/02/2018,"בני יהודה ת""א - מכבי ע. פ""ת",18:00,1-2
149,10/02/2018,"מכבי חיפה - הפועל ק""ש",18:17,0-4
150,10/02/2018,"הפועל ע. אשקלון - בית""ר י-ם",20:30,3-1
151,11/02/2018,מכבי נתניה - בני סכנין,19:00,1-1
152,11/02/2018,"הפועל עכו - מכבי ת""א",20:15,2-0
153,12/02/2018,"הפועל ב""ש - מ.ס. אשדוד",21:00,0-2
154,17/02/2018,"מכבי ת""א - הפועל רעננה",16:02,1-0
155,17/02/2018,מ.ס. אשדוד - הפועל עכו,18:03,2-3
156,17/02/2018,בני סכנין - מכבי חיפה,18:15,0-1
157,17/02/2018,"הפועל ב""ש - מכבי ע. פ""ת",20:30,0-3
158,18/02/2018,"הפועל ק""ש - הפועל ע. אשקלון",19:00,0-1
159,18/02/2018,הפועל חיפה - מכבי נתניה,20:30,0-2
160,19/02/2018,"בית""ר י-ם - בני יהודה ת""א",21:00,0-2
161,24/02/2018,הפועל רעננה - מ.ס. אשדוד,16:00,1-2
162,24/02/2018,הפועל ע. אשקלון - בני סכנין,18:00,2-0
163,24/02/2018,מכבי חיפה - מכבי נתניה,18:15,2-1
164,24/02/2018,"מכבי ת""א - הפועל חיפה",20:30,0-4
165,25/02/2018,"בני יהודה ת""א - הפועל ק""ש",19:30,0-1
166,25/02/2018,"הפועל ב""ש - בית""ר י-ם",21:00,1-1
167,26/02/2018,"מכבי ע. פ""ת - הפועל עכו",20:15,1-2
168,03/03/2018,"מכבי ע. פ""ת - הפועל רעננה",16:00,2-3
169,03/03/2018,מכבי נתניה - הפועל ע. אשקלון,18:10,0-2
170,03/03/2018,"בני סכנין - בני יהודה ת""א",18:10,2-2
171,03/03/2018,"מ.ס. אשדוד - מכבי ת""א",20:30,0-0
172,04/03/2018,"הפועל ק""ש - הפועל ב""ש",20:00,1-0
173,04/03/2018,"בית""ר י-ם - הפועל עכו",21:03,0-3
174,05/03/2018,מכבי חיפה - הפועל חיפה,21:04,3-0
175,10/03/2018,"בני יהודה ת""א - מכבי נתניה",18:00,1-0
176,10/03/2018,הפועל חיפה - מ.ס. אשדוד,18:30,0-1
177,10/03/2018,הפועל ע. אשקלון - מכבי חיפה,19:14,0-0
178,10/03/2018,"הפועל ב""ש - בני סכנין",20:50,0-2
179,11/03/2018,"הפועל עכו - הפועל ק""ש",19:00,3-0
180,11/03/2018,"הפועל רעננה - בית""ר י-ם",20:15,2-0
181,12/03/2018,"מכבי ת""א - מכבי ע. פ""ת",21:00,0-2
182,17/03/2018,מכבי חיפה - הפועל עכו,16:00,0-4
183,17/03/2018,"הפועל ק""ש - הפועל ע. אשקלון",18:00,1-1
184,17/03/2018,בני סכנין - מ.ס. אשדוד,18:17,1-2
185,17/03/2018,"בית""ר י-ם - מכבי נתניה",20:30,0-2
186,18/03/2018,"מכבי ע. פ""ת - הפועל רעננה",19:00,3-1
187,18/03/2018,"הפועל ב""ש - בני יהודה ת""א",20:00,0-1
188,18/03/2018,"מכבי ת""א - הפועל חיפה",21:00,2-1
189,03/04/2018,"מכבי נתניה - מכבי ת""א",19:30,1-4
190,04/04/2018,"בני יהודה ת""א - הפועל חיפה",19:00,0-3
191,04/04/2018,"הפועל ב""ש - בית""ר י-ם",19:30,1-3
192,07/04/2018,"מכבי ע. פ""ת - הפועל ק""ש",17:00,0-2
193,07/04/2018,הפועל רעננה - הפועל עכו,19:10,1-1
194,07/04/2018,הפועל ע. אשקלון - בני סכנין,20:00,0-2
195,07/04/2018,מ.ס. אשדוד - מכבי חיפה,20:30,1-2
196,08/04/2018,הפועל חיפה - מכבי נתניה,20:02,1-1
197,08/04/2018,"בית""ר י-ם - בני יהודה ת""א",21:00,1-1
198,09/04/2018,"מכבי ת""א - הפועל ב""ש",21:00,1-0
199,14/04/2018,"הפועל ק""ש - הפועל רעננה",18:00,1-0
200,14/04/2018,הפועל עכו - מ.ס. אשדוד,18:00,1-1
201,14/04/2018,"בני יהודה ת""א - מכבי נתניה",18:45,3-1
202,14/04/2018,מכבי חיפה - הפועל ע. אשקלון,20:30,1-2
203,15/04/2018,"בני סכנין - מכבי ע. פ""ת",19:00,2-2
204,15/04/2018,"הפועל ב""ש - הפועל חיפה",20:32,2-2
205,16/04/2018,"בית""ר י-ם - מכבי ת""א",21:00,2-3
206,21/04/2018,"הפועל ק""ש - בני סכנין",17:45,0-2
207,21/04/2018,"מכבי ע. פ""ת - מכבי חיפה",18:02,1-0
208,21/04/2018,הפועל ע. אשקלון - הפועל עכו,20:00,2-0
209,21/04/2018,"מכבי ת""א - בני יהודה ת""א",20:30,0-2
210,22/04/2018,"מכבי נתניה - הפועל ב""ש",20:30,5-1
211,23/04/2018,הפועל רעננה - מ.ס. אשדוד,20:00,0-1
212,23/04/2018,"הפועל חיפה - בית""ר י-ם",21:00,1-0
213,28/04/2018,"הפועל עכו - מכבי ע. פ""ת",17:45,1-2
214,28/04/2018,"מכבי חיפה - הפועל ק""ש",18:00,2-1
215,28/04/2018,בני סכנין - הפועל רעננה,20:00,3-1
216,28/04/2018,"בני יהודה ת""א - הפועל ב""ש",20:30,1-1
217,29/04/2018,מ.ס. אשדוד - הפועל ע. אשקלון,19:30,0-1
218,29/04/2018,"הפועל חיפה - מכבי ת""א",21:00,2-2
219,30/04/2018,"מכבי נתניה - בית""ר י-ם",21:00,1-4
220,05/05/2018,"הפועל ק""ש - הפועל עכו",18:00,0-4
221,05/05/2018,"הפועל חיפה - בני יהודה ת""א",18:22,1-2
222,05/05/2018,בני סכנין - מכבי חיפה,20:30,1-1
223,05/05/2018,"בית""ר י-ם - הפועל ב""ש",21:00,4-1
224,06/05/2018,הפועל רעננה - הפועל ע. אשקלון,19:00,0-4
225,06/05/2018,"מכבי ע. פ""ת - מ.ס. אשדוד",20:00,1-2
226,07/05/2018,"מכבי ת""א - מכבי נתניה",20:30,0-2
227,12/05/2018,מכבי נתניה - הפועל חיפה,18:00,1-2
228,12/05/2018,"בני יהודה ת""א - בית""ר י-ם",20:15,3-3
229,12/05/2018,"הפועל ב""ש - מכבי ת""א",21:00,1-0
230,13/05/2018,מכבי חיפה - הפועל רעננה,20:00,0-2
231,13/05/2018,הפועל עכו - בני סכנין,20:00,2-1
232,13/05/2018,"מ.ס. אשדוד - הפועל ק""ש",20:00,2-1
233,13/05/2018,"הפועל ע. אשקלון - מכבי ע. פ""ת",20:00,2-0
234,15/05/2018,"הפועל חיפה - הפועל ב""ש",20:20,4-1
235,15/05/2018,"מכבי ת""א - בית""ר י-ם",21:00,1-3
236,16/05/2018,"מכבי נתניה - בני יהודה ת""א",19:15,5-0
237,21/05/2018,"בני יהודה ת""א - מכבי ת""א",21:00,2-0
238,21/05/2018,"בית""ר י-ם - הפועל חיפה",21:00,1-1
239,21/05/2018,"הפועל ב""ש - מכבי נתניה",21:08,1-6
