,Date,Game,Time,Result
0,22/08/2015,"מכבי ת""א - בני סכנין",17:45,2-3
1,22/08/2015,"הפועל רעננה - הפועל כפ""ס",19:00,2-2
2,22/08/2015,"מכבי ע. פ""ת - מכבי נתניה",19:00,0-1
3,22/08/2015,הפועל עכו - הפועל חיפה,20:00,1-0
4,22/08/2015,"מכבי חיפה - בני יהודה ת""א",20:12,3-0
5,23/08/2015,"הפועל ק""ש - הפועל ב""ש",20:00,3-1
6,24/08/2015,"בית""ר י-ם - הפועל ת""א",20:55,0-0
7,29/08/2015,"הפועל כפ""ס - מכבי חיפה",17:45,0-1
8,29/08/2015,"הפועל חיפה - מכבי ע. פ""ת",19:00,3-0
9,29/08/2015,בני סכנין - הפועל רעננה,19:00,3-2
10,29/08/2015,"הפועל ת""א - הפועל ק""ש",20:00,3-0
11,30/08/2015,"מכבי נתניה - בית""ר י-ם",20:15,0-0
12,30/08/2015,"הפועל ב""ש - מכבי ת""א",20:55,1-0
13,31/08/2015,"בני יהודה ת""א - הפועל עכו",20:00,2-0
14,12/09/2015,"הפועל ת""א - מכבי נתניה",17:00,1-1
15,12/09/2015,"מכבי ע. פ""ת - בני יהודה ת""א",17:30,1-3
16,12/09/2015,מכבי חיפה - בני סכנין,17:45,0-0
17,12/09/2015,"הפועל רעננה - הפועל ב""ש",18:00,3-2
18,12/09/2015,"הפועל עכו - הפועל כפ""ס",20:00,0-1
19,12/09/2015,"בית""ר י-ם - הפועל חיפה",20:00,1-1
20,12/09/2015,"הפועל ק""ש - מכבי ת""א",20:55,1-1
21,19/09/2015,"הפועל חיפה - הפועל ת""א",17:45,1-0
22,19/09/2015,"הפועל כפ""ס - מכבי ע. פ""ת",19:00,1-0
23,19/09/2015,בני סכנין - הפועל עכו,19:00,0-2
24,19/09/2015,"בני יהודה ת""א - בית""ר י-ם",20:00,1-2
25,19/09/2015,"מכבי נתניה - הפועל ק""ש",20:01,1-1
26,20/09/2015,"מכבי ת""א - הפועל רעננה",20:15,2-1
27,21/09/2015,"הפועל ב""ש - מכבי חיפה",20:55,0-0
28,26/09/2015,"הפועל ק""ש - הפועל רעננה",19:00,0-0
29,26/09/2015,"הפועל עכו - הפועל ב""ש",19:00,0-1
30,26/09/2015,"מכבי ע. פ""ת - בני סכנין",20:00,1-0
