,Date,Game,Time,Result
83,05/12/2018,"בית""ר י-ם - מכבי נתניה",21:00,1-1
84,08/12/2018,"מכבי חיפה - הפועל ק""ש",16:00,2-2
85,08/12/2018,"מ.ס. אשדוד - מכבי ע. פ""ת",18:00,1-1
86,08/12/2018,"הפועל ב""ש - בני סכנין",18:15,1-1
87,08/12/2018,"בני יהודה ת""א - מכבי ת""א",20:30,3-1
88,09/12/2018,הפועל רעננה - הפועל חיפה,19:00,3-0
89,09/12/2018,מכבי נתניה - הפ' חדרה ש. שוורץ,20:18,0-1
90,10/12/2018,"הפועל ת""א - בית""ר י-ם",21:00,3-0
91,15/12/2018,"הפועל ת""א - הפ' חדרה ש. שוורץ",16:00,1-1
92,15/12/2018,הפועל רעננה - בני סכנין,18:00,1-2
93,15/12/2018,מכבי נתניה - הפועל חיפה,18:15,2-1
94,15/12/2018,"הפועל ב""ש - הפועל ק""ש",20:30,1-2
95,16/12/2018,"בני יהודה ת""א - מ.ס. אשדוד",19:00,0-2
96,16/12/2018,"בית""ר י-ם - מכבי ע. פ""ת",20:30,0-0
97,17/12/2018,"מכבי חיפה - מכבי ת""א",21:00,3-1
98,25/12/2018,"מכבי ע. פ""ת - בני יהודה ת""א",19:30,1-1
99,25/12/2018,בני סכנין - מכבי נתניה,19:33,2-0
100,25/12/2018,"מכבי ת""א - הפועל ב""ש",21:00,0-3
101,26/12/2018,"הפועל ק""ש - הפועל רעננה",19:00,1-1
102,26/12/2018,"הפועל חיפה - הפועל ת""א",20:00,1-1
103,26/12/2018,מ.ס. אשדוד - מכבי חיפה,21:00,1-0
104,27/12/2018,"הפ' חדרה ש. שוורץ - בית""ר י-ם",20:30,3-0
105,29/12/2018,"הפועל רעננה - מכבי ת""א",16:00,2-0
106,29/12/2018,"מכבי נתניה - הפועל ק""ש",18:00,0-1
107,29/12/2018,"הפועל ב""ש - מ.ס. אשדוד",18:15,0-1
108,29/12/2018,"מכבי חיפה - בני יהודה ת""א",20:32,0-1
109,30/12/2018,"הפ' חדרה ש. שוורץ - מכבי ע. פ""ת",19:00,0-3
110,30/12/2018,"הפועל ת""א - בני סכנין",20:30,0-2
111,31/12/2018,"בית""ר י-ם - הפועל חיפה",21:00,1-1
112,05/01/2019,"הפועל ק""ש - הפועל ת""א",16:00,0-1
113,05/01/2019,הפועל חיפה - הפ' חדרה ש. שוורץ,18:00,1-1
114,05/01/2019,"מכבי ע. פ""ת - מכבי חיפה",18:15,2-1
115,05/01/2019,"בני סכנין - בית""ר י-ם",20:30,0-0
116,06/01/2019,מ.ס. אשדוד - הפועל רעננה,19:00,1-1
117,06/01/2019,"בני יהודה ת""א - הפועל ב""ש",20:30,1-3
118,07/01/2019,"מכבי ת""א - מכבי נתניה",21:02,1-4
119,12/01/2019,מכבי נתניה - מ.ס. אשדוד,16:00,0-1
120,12/01/2019,"הפועל רעננה - בני יהודה ת""א",18:00,0-0
121,12/01/2019,"הפועל חיפה - מכבי ע. פ""ת",18:15,2-4
122,12/01/2019,הפ' חדרה ש. שוורץ - בני סכנין,20:15,1-2
123,12/01/2019,"הפועל ב""ש - מכבי חיפה",20:30,2-0
124,13/01/2019,"בית""ר י-ם - הפועל ק""ש",20:30,0-0
125,14/01/2019,"הפועל ת""א - מכבי ת""א",21:00,1-1
126,19/01/2019,"בני יהודה ת""א - מכבי נתניה",16:00,0-0
127,19/01/2019,בני סכנין - הפועל חיפה,18:00,4-0
128,19/01/2019,מכבי חיפה - הפועל רעננה,18:19,0-0
129,19/01/2019,"מכבי ע. פ""ת - הפועל ב""ש",21:00,3-1
130,21/01/2019,"הפועל ק""ש - הפ' חדרה ש. שוורץ",19:00,1-3
131,21/01/2019,"מ.ס. אשדוד - הפועל ת""א",20:00,1-1
132,21/01/2019,"מכבי ת""א - בית""ר י-ם",21:00,0-1
133,26/01/2019,"הפועל ת""א - בני יהודה ת""א",16:01,2-3
134,26/01/2019,"הפועל חיפה - הפועל ק""ש",18:00,1-1
135,26/01/2019,"הפועל רעננה - הפועל ב""ש",18:15,1-3
136,26/01/2019,"בית""ר י-ם - מ.ס. אשדוד",20:30,1-4
137,27/01/2019,"בני סכנין - מכבי ע. פ""ת",19:00,1-0
138,27/01/2019,מכבי נתניה - מכבי חיפה,20:30,0-0
139,28/01/2019,"הפ' חדרה ש. שוורץ - מכבי ת""א",21:00,2-0
140,02/02/2019,"מכבי ע. פ""ת - הפועל רעננה",16:00,1-1
141,02/02/2019,מ.ס. אשדוד - הפ' חדרה ש. שוורץ,16:00,3-2
142,02/02/2019,"הפועל ב""ש - מכבי נתניה",18:30,1-1
143,02/02/2019,"בני יהודה ת""א - בית""ר י-ם",20:45,2-0
144,03/02/2019,"הפועל ק""ש - בני סכנין",19:00,2-2
145,03/02/2019,"מכבי ת""א - הפועל חיפה",20:30,1-1
146,04/02/2019,"מכבי חיפה - הפועל ת""א",21:00,2-3
147,09/02/2019,הפועל חיפה - מ.ס. אשדוד,16:00,1-0
148,09/02/2019,"הפועל ק""ש - מכבי ע. פ""ת",18:00,2-0
149,09/02/2019,מכבי נתניה - הפועל רעננה,18:15,0-1
150,09/02/2019,"הפועל ת""א - הפועל ב""ש",20:30,0-1
151,10/02/2019,"הפ' חדרה ש. שוורץ - בני יהודה ת""א",19:00,4-0
152,10/02/2019,"בית""ר י-ם - מכבי חיפה",21:00,1-1
153,11/02/2019,"בני סכנין - מכבי ת""א",20:30,0-0
154,16/02/2019,"הפועל רעננה - הפועל ת""א",16:00,0-0
155,16/02/2019,מ.ס. אשדוד - בני סכנין,18:00,1-2
156,16/02/2019,"בני יהודה ת""א - הפועל חיפה",18:15,2-4
157,16/02/2019,"מכבי ת""א - הפועל ק""ש",20:32,0-3
158,17/02/2019,"מכבי ע. פ""ת - מכבי נתניה",19:00,4-1
159,17/02/2019,מכבי חיפה - הפ' חדרה ש. שוורץ,20:30,1-3
160,18/02/2019,"הפועל ב""ש - בית""ר י-ם",21:00,1-3
161,23/02/2019,"מכבי ת""א - מכבי ע. פ""ת",16:03,0-2
162,23/02/2019,"בני סכנין - בני יהודה ת""א",18:00,1-2
163,23/02/2019,"הפועל ת""א - מכבי נתניה",18:15,2-1
164,23/02/2019,"בית""ר י-ם - הפועל רעננה",20:32,0-2
165,24/02/2019,"הפועל ק""ש - מ.ס. אשדוד",19:00,0-0
166,24/02/2019,"הפ' חדרה ש. שוורץ - הפועל ב""ש",20:33,2-1
167,25/02/2019,הפועל חיפה - מכבי חיפה,21:00,0-0
168,02/03/2019,מכבי חיפה - בני סכנין,16:00,0-2
169,02/03/2019,"בני יהודה ת""א - הפועל ק""ש",18:00,1-0
170,02/03/2019,"מ.ס. אשדוד - מכבי ת""א",18:20,2-0
171,02/03/2019,"מכבי נתניה - בית""ר י-ם",20:30,1-3
172,03/03/2019,הפועל רעננה - הפ' חדרה ש. שוורץ,19:00,0-1
173,03/03/2019,"הפועל ת""א - מכבי ע. פ""ת",20:30,0-6
174,04/03/2019,"הפועל ב""ש - הפועל חיפה",21:00,0-2
175,09/03/2019,"הפועל ק""ש - מכבי חיפה",20:30,3-2
176,09/03/2019,הפועל חיפה - הפועל רעננה,20:30,2-2
177,09/03/2019,הפ' חדרה ש. שוורץ - מכבי נתניה,20:30,2-2
178,09/03/2019,"בית""ר י-ם - הפועל ת""א",20:30,1-0
179,10/03/2019,"מכבי ע. פ""ת - מ.ס. אשדוד",19:00,0-2
180,10/03/2019,"בני סכנין - הפועל ב""ש",20:30,0-0
181,11/03/2019,"מכבי ת""א - בני יהודה ת""א",20:30,1-2
182,16/03/2019,"מכבי ת""א - הפ' חדרה ש. שוורץ",16:02,0-2
183,16/03/2019,הפועל רעננה - בני סכנין,18:00,2-2
184,16/03/2019,"הפועל ת""א - מ.ס. אשדוד",18:20,1-5
185,16/03/2019,"מכבי חיפה - בני יהודה ת""א",20:30,2-0
186,17/03/2019,"הפועל ק""ש - מכבי ע. פ""ת",19:00,1-0
187,17/03/2019,"מכבי נתניה - הפועל ב""ש",20:15,1-0
188,17/03/2019,"הפועל חיפה - בית""ר י-ם",21:00,0-0
