,Date,Game,Time,Result
119,14/01/2017,"מ.ס. אשדוד - הפועל כפ""ס",16:01,0-0
120,14/01/2017,הפועל רעננה - הפועל ע. אשקלון,18:00,2-0
121,14/01/2017,"מכבי חיפה - מכבי ע. פ""ת",18:15,2-0
122,14/01/2017,"הפועל ב""ש - בני יהודה ת""א",20:30,1-2
123,15/01/2017,"בית""ר י-ם - הפועל חיפה",20:15,0-1
124,16/01/2017,"בני סכנין - הפועל ק""ש",18:30,2-5
125,16/01/2017,"הפועל ת""א - מכבי ת""א",21:00,1-0
126,21/01/2017,"הפועל ק""ש - מכבי חיפה",16:00,0-3
127,21/01/2017,הפועל חיפה - הפועל רעננה,18:00,0-1
128,21/01/2017,"הפועל ע. אשקלון - הפועל ת""א",18:15,1-0
129,21/01/2017,"מכבי ע. פ""ת - הפועל ב""ש",20:30,1-1
130,22/01/2017,"בני יהודה ת""א - מ.ס. אשדוד",19:00,0-2
131,22/01/2017,"הפועל כפ""ס - בית""ר י-ם",20:00,2-0
132,22/01/2017,"מכבי ת""א - בני סכנין",21:00,1-2
133,28/01/2017,"מכבי ע. פ""ת - בני יהודה ת""א",16:00,0-2
134,28/01/2017,"הפועל רעננה - הפועל כפ""ס",18:00,0-1
135,28/01/2017,"הפועל ב""ש - הפועל ק""ש",18:15,0-2
136,28/01/2017,"בית""ר י-ם - מ.ס. אשדוד",20:30,1-1
137,29/01/2017,בני סכנין - הפועל ע. אשקלון,19:00,0-1
138,29/01/2017,"הפועל ת""א - הפועל חיפה",20:15,0-0
139,30/01/2017,"מכבי חיפה - מכבי ת""א",21:02,2-2
140,04/02/2017,"הפועל ק""ש - מכבי ע. פ""ת",16:00,1-0
141,04/02/2017,הפועל חיפה - בני סכנין,18:00,1-0
142,04/02/2017,"בני יהודה ת""א - בית""ר י-ם",18:34,1-1
143,04/02/2017,"מכבי ת""א - הפועל ב""ש",21:00,0-1
144,05/02/2017,מ.ס. אשדוד - הפועל רעננה,19:00,1-0
145,05/02/2017,"הפועל כפ""ס - הפועל ת""א",20:22,0-0
146,06/02/2017,הפועל ע. אשקלון - מכבי חיפה,20:30,2-0
147,11/02/2017,מכבי חיפה - הפועל חיפה,16:00,3-0
148,11/02/2017,"הפועל ק""ש - בני יהודה ת""א",18:00,1-0
149,11/02/2017,"הפועל ב""ש - הפועל ע. אשקלון",18:15,1-2
150,11/02/2017,"הפועל רעננה - בית""ר י-ם",20:30,4-0
151,12/02/2017,"בני סכנין - הפועל כפ""ס",19:00,0-1
152,12/02/2017,"הפועל ת""א - מ.ס. אשדוד",20:15,0-2
153,13/02/2017,"מכבי ע. פ""ת - מכבי ת""א",21:00,1-0
154,18/02/2017,"הפועל כפ""ס - מכבי חיפה",16:00,2-0
155,18/02/2017,"בני יהודה ת""א - הפועל רעננה",18:00,2-0
156,18/02/2017,מ.ס. אשדוד - בני סכנין,18:15,1-1
157,18/02/2017,"מכבי ת""א - הפועל ק""ש",20:35,0-3
158,19/02/2017,"הפועל ע. אשקלון - מכבי ע. פ""ת",19:00,1-0
159,19/02/2017,"הפועל חיפה - הפועל ב""ש",20:19,0-0
160,20/02/2017,"הפועל ת""א - בית""ר י-ם",21:00,2-1
161,25/02/2017,"הפועל ת""א - הפועל רעננה",16:00,0-0
162,25/02/2017,"הפועל ע. אשקלון - הפועל ק""ש",18:00,1-1
163,25/02/2017,מכבי חיפה - מ.ס. אשדוד,18:15,1-0
164,25/02/2017,"מכבי ת""א - בני יהודה ת""א",20:30,0-2
165,26/02/2017,"מכבי ע. פ""ת - הפועל חיפה",19:00,1-3
166,26/02/2017,"בני סכנין - בית""ר י-ם",21:00,2-0
167,27/02/2017,"הפועל ב""ש - הפועל כפ""ס",20:30,0-3
168,04/03/2017,"הפועל חיפה - הפועל ק""ש",16:01,2-1
169,04/03/2017,הפועל רעננה - בני סכנין,18:00,1-0
170,04/03/2017,"הפועל ת""א - בני יהודה ת""א",18:16,2-1
171,04/03/2017,"מ.ס. אשדוד - הפועל ב""ש",20:30,1-0
172,05/03/2017,"הפועל כפ""ס - מכבי ע. פ""ת",19:00,3-1
173,05/03/2017,"הפועל ע. אשקלון - מכבי ת""א",20:16,2-1
174,06/03/2017,"בית""ר י-ם - מכבי חיפה",21:00,1-0
175,11/03/2017,"מכבי ע. פ""ת - מ.ס. אשדוד",18:00,1-0
176,11/03/2017,"הפועל ק""ש - הפועל כפ""ס",20:30,2-1
177,11/03/2017,"בני סכנין - הפועל ת""א",20:30,0-0
178,11/03/2017,מכבי חיפה - הפועל רעננה,20:32,0-2
179,12/03/2017,"בני יהודה ת""א - הפועל ע. אשקלון",19:00,0-0
180,12/03/2017,"מכבי ת""א - הפועל חיפה",20:15,0-1
181,13/03/2017,"הפועל ב""ש - בית""ר י-ם",21:02,1-2
182,18/03/2017,"הפועל ק""ש - הפועל ת""א",16:00,3-2
183,18/03/2017,הפועל חיפה - הפועל ע. אשקלון,18:00,4-1
184,18/03/2017,"מכבי ת""א - בני סכנין",18:15,0-3
185,18/03/2017,"מכבי ע. פ""ת - בית""ר י-ם",20:30,1-0
186,19/03/2017,"הפועל רעננה - בני יהודה ת""א",19:00,2-0
187,19/03/2017,"הפועל ב""ש - מכבי חיפה",21:00,0-4
188,20/03/2017,"מ.ס. אשדוד - הפועל כפ""ס",20:30,0-0
189,01/04/2017,"הפועל ק""ש - הפועל חיפה",18:00,2-0
190,01/04/2017,"הפועל ת""א - בני יהודה ת""א",18:05,0-2
191,01/04/2017,"מכבי חיפה - בית""ר י-ם",19:30,2-3
192,01/04/2017,"הפועל ב""ש - מכבי ת""א",21:10,0-1
193,02/04/2017,"בני סכנין - מכבי ע. פ""ת",19:00,0-1
194,02/04/2017,"הפועל כפ""ס - הפועל רעננה",20:15,2-0
195,03/04/2017,הפועל ע. אשקלון - מ.ס. אשדוד,20:30,0-0
196,08/04/2017,"הפועל חיפה - הפועל ת""א",16:00,3-3
197,08/04/2017,הפועל רעננה - הפועל ע. אשקלון,18:00,2-0
198,08/04/2017,"בני יהודה ת""א - הפועל כפ""ס",18:15,0-1
199,08/04/2017,"בית""ר י-ם - בני סכנין",20:30,0-3
200,09/04/2017,"מ.ס. אשדוד - הפועל ק""ש",19:00,1-1
201,09/04/2017,"מכבי ע. פ""ת - הפועל ב""ש",20:10,2-1
202,09/04/2017,"מכבי ת""א - מכבי חיפה",21:00,0-3
203,15/04/2017,מכבי חיפה - בני סכנין,18:00,1-0
204,15/04/2017,"מכבי ת""א - מכבי ע. פ""ת",20:30,0-2
205,17/04/2017,"הפועל ב""ש - בית""ר י-ם",21:00,0-2
206,22/04/2017,"הפועל ע. אשקלון - בני יהודה ת""א",17:17,0-1
207,22/04/2017,"מכבי ע. פ""ת - מכבי חיפה",18:00,1-0
208,22/04/2017,הפועל חיפה - מ.ס. אשדוד,18:00,1-1
209,22/04/2017,"הפועל ק""ש - הפועל רעננה",20:15,3-2
210,22/04/2017,"בני סכנין - הפועל ב""ש",20:15,3-1
211,22/04/2017,"בית""ר י-ם - מכבי ת""א",21:06,1-1
212,24/04/2017,"הפועל ת""א - הפועל כפ""ס",21:00,0-2
213,25/04/2017,"בני סכנין - מכבי ת""א",19:45,3-1
214,25/04/2017,"מכבי חיפה - הפועל ב""ש",21:00,1-0
215,26/04/2017,"בית""ר י-ם - מכבי ע. פ""ת",19:45,1-2
216,27/04/2017,הפועל רעננה - הפועל חיפה,19:30,2-0
217,27/04/2017,"בני יהודה ת""א - הפועל ק""ש",19:30,2-0
218,29/04/2017,"הפועל כפ""ס - הפועל ע. אשקלון",17:45,0-1
219,29/04/2017,"מ.ס. אשדוד - הפועל ת""א",17:48,0-2
220,29/04/2017,"מכבי ע. פ""ת - בני סכנין",18:00,0-1
221,29/04/2017,"בית""ר י-ם - מכבי חיפה",20:15,0-2
222,29/04/2017,"מכבי ת""א - הפועל ב""ש",21:00,2-1
223,06/05/2017,"הפועל ת""א - הפועל ע. אשקלון",19:00,0-0
224,06/05/2017,"הפועל ק""ש - הפועל כפ""ס",19:00,4-1
225,06/05/2017,"הפועל חיפה - בני יהודה ת""א",19:00,1-1
226,06/05/2017,מ.ס. אשדוד - הפועל רעננה,19:00,2-2
227,06/05/2017,"בני סכנין - בית""ר י-ם",20:30,5-1
228,07/05/2017,"מכבי חיפה - מכבי ת""א",20:15,2-0
229,08/05/2017,"הפועל ב""ש - מכבי ע. פ""ת",20:00,1-1
230,13/05/2017,בני סכנין - מכבי חיפה,18:00,0-1
231,13/05/2017,"הפועל רעננה - הפועל ת""א",20:30,1-1
232,13/05/2017,"בני יהודה ת""א - מ.ס. אשדוד",20:30,1-2
233,13/05/2017,"הפועל כפ""ס - הפועל חיפה",20:30,0-1
234,13/05/2017,"הפועל ע. אשקלון - הפועל ק""ש",20:30,1-2
235,14/05/2017,"מכבי ע. פ""ת - מכבי ת""א",20:15,1-2
236,15/05/2017,"בית""ר י-ם - הפועל ב""ש",20:30,1-1
237,20/05/2017,"הפועל ב""ש - בני סכנין",19:00,0-2
238,20/05/2017,"מכבי חיפה - מכבי ע. פ""ת",20:30,0-0
239,20/05/2017,"מכבי ת""א - בית""ר י-ם",20:30,2-0
