,Date,Game,Time,Result
0,20/08/2016,"בני יהודה ת""א - בני סכנין",18:00,1-1
1,20/08/2016,"הפועל ק""ש - מ.ס. אשדוד",20:00,0-1
2,20/08/2016,הפועל ע. אשקלון - הפועל חיפה,20:00,2-3
3,20/08/2016,"הפועל ב""ש - הפועל רעננה",20:15,1-2
4,21/08/2016,"מכבי ע. פ""ת - בית""ר י-ם",20:00,2-2
5,21/08/2016,"מכבי ת""א - הפועל כפ""ס",20:45,1-3
6,22/08/2016,"מכבי חיפה - הפועל ת""א",20:47,0-1
7,27/08/2016,"הפועל חיפה - בני יהודה ת""א",18:00,0-1
8,27/08/2016,"הפועל רעננה - מכבי ע. פ""ת",19:00,1-0
9,27/08/2016,בני סכנין - מכבי חיפה,20:10,0-1
10,27/08/2016,"הפועל ת""א - הפועל ב""ש",21:00,0-0
11,28/08/2016,"בית""ר י-ם - הפועל ק""ש",20:15,2-2
12,28/08/2016,"מ.ס. אשדוד - מכבי ת""א",21:00,2-1
13,29/08/2016,"הפועל כפ""ס - הפועל ע. אשקלון",21:00,1-1
14,10/09/2016,"בני יהודה ת""א - מכבי חיפה",18:00,1-1
15,10/09/2016,"הפועל ק""ש - הפועל רעננה",18:00,0-0
16,10/09/2016,"הפועל חיפה - הפועל כפ""ס",20:04,2-1
17,10/09/2016,"הפועל ב""ש - בני סכנין",20:13,0-3
18,11/09/2016,הפועל ע. אשקלון - מ.ס. אשדוד,19:30,0-0
19,11/09/2016,"מכבי ת""א - בית""ר י-ם",20:45,2-2
20,12/09/2016,"מכבי ע. פ""ת - הפועל ת""א",20:30,0-2
21,17/09/2016,"הפועל ת""א - הפועל ק""ש",18:00,3-3
22,17/09/2016,מ.ס. אשדוד - הפועל חיפה,20:00,3-1
23,17/09/2016,"הפועל כפ""ס - בני יהודה ת""א",20:10,1-0
24,17/09/2016,"בית""ר י-ם - הפועל ע. אשקלון",20:13,0-3
25,18/09/2016,"בני סכנין - מכבי ע. פ""ת",19:00,1-0
26,18/09/2016,"הפועל רעננה - מכבי ת""א",20:15,3-0
27,19/09/2016,"מכבי חיפה - הפועל ב""ש",20:45,1-2
28,21/09/2016,"בני סכנין - מכבי ת""א",21:00,3-0
29,24/09/2016,"הפועל ק""ש - בני סכנין",18:00,2-2
30,24/09/2016,"הפועל כפ""ס - מ.ס. אשדוד",18:00,0-1
31,24/09/2016,הפועל ע. אשקלון - הפועל רעננה,20:00,0-0
32,24/09/2016,"הפועל חיפה - בית""ר י-ם",20:10,0-4
33,25/09/2016,"בני יהודה ת""א - הפועל ב""ש",20:00,3-0
34,25/09/2016,"מכבי ת""א - הפועל ת""א",21:00,0-5
35,26/09/2016,"מכבי ע. פ""ת - מכבי חיפה",20:30,2-2
36,01/10/2016,הפועל רעננה - הפועל חיפה,18:00,0-2
37,01/10/2016,"מכבי חיפה - הפועל ק""ש",18:00,0-0
38,01/10/2016,"הפועל ת""א - הפועל ע. אשקלון",20:00,0-2
39,01/10/2016,"מ.ס. אשדוד - בני יהודה ת""א",20:10,2-2
40,01/10/2016,"בית""ר י-ם - הפועל כפ""ס",20:17,0-1
41,15/10/2016,"הפועל ב""ש - מכבי ע. פ""ת",19:30,0-5
42,22/10/2016,"בני יהודה ת""א - מכבי ע. פ""ת",16:00,4-1
43,22/10/2016,"הפועל כפ""ס - הפועל רעננה",18:00,2-1
44,22/10/2016,"הפועל חיפה - הפועל ת""א",18:15,2-0
45,22/10/2016,הפועל ע. אשקלון - בני סכנין,20:15,1-0
46,22/10/2016,"מ.ס. אשדוד - בית""ר י-ם",20:30,0-0
47,24/10/2016,"הפועל ק""ש - הפועל ב""ש",19:30,2-0
48,24/10/2016,"מכבי ת""א - מכבי חיפה",21:00,2-0
49,29/10/2016,בני סכנין - הפועל חיפה,16:00,1-2
50,29/10/2016,"הפועל ת""א - הפועל כפ""ס",18:15,1-1
51,29/10/2016,הפועל רעננה - מ.ס. אשדוד,20:00,0-0
52,29/10/2016,מכבי חיפה - הפועל ע. אשקלון,20:30,0-5
53,30/10/2016,"מכבי ע. פ""ת - הפועל ק""ש",19:01,1-2
54,30/10/2016,"הפועל ב""ש - מכבי ת""א",21:00,0-2
55,31/10/2016,"בית""ר י-ם - בני יהודה ת""א",20:30,2-2
56,05/11/2016,"בני יהודה ת""א - הפועל ק""ש",16:00,1-0
57,05/11/2016,"מ.ס. אשדוד - הפועל ת""א",17:45,0-1
58,05/11/2016,"בית""ר י-ם - הפועל רעננה",20:00,0-1
59,05/11/2016,הפועל חיפה - מכבי חיפה,21:00,0-0
60,06/11/2016,"הפועל ע. אשקלון - הפועל ב""ש",20:00,5-1
61,06/11/2016,"מכבי ת""א - מכבי ע. פ""ת",20:45,0-0
62,07/11/2016,"הפועל כפ""ס - בני סכנין",21:00,1-2
63,19/11/2016,בני סכנין - מ.ס. אשדוד,16:00,1-0
64,19/11/2016,"מכבי ע. פ""ת - הפועל ע. אשקלון",18:00,1-1
65,19/11/2016,"מכבי חיפה - הפועל כפ""ס",18:15,0-2
66,19/11/2016,"הפועל ב""ש - הפועל חיפה",20:32,1-5
67,20/11/2016,"הפועל רעננה - בני יהודה ת""א",19:00,0-1
68,20/11/2016,"הפועל ק""ש - מכבי ת""א",20:15,2-1
69,21/11/2016,"בית""ר י-ם - הפועל ת""א",21:00,1-1
70,26/11/2016,"הפועל רעננה - הפועל ת""א",17:00,0-0
71,26/11/2016,"הפועל חיפה - מכבי ע. פ""ת",18:00,1-2
72,26/11/2016,מ.ס. אשדוד - מכבי חיפה,19:30,1-1
73,26/11/2016,"הפועל ק""ש - הפועל ע. אשקלון",20:15,1-4
74,27/11/2016,"הפועל כפ""ס - הפועל ב""ש",20:00,2-0
75,27/11/2016,"בני יהודה ת""א - מכבי ת""א",20:45,0-1
76,28/11/2016,"בית""ר י-ם - בני סכנין",21:00,1-0
77,03/12/2016,"הפועל ק""ש - הפועל חיפה",16:00,0-2
78,03/12/2016,"מכבי ע. פ""ת - הפועל כפ""ס",18:00,0-0
79,03/12/2016,"מכבי ת""א - הפועל ע. אשקלון",18:17,0-0
80,03/12/2016,"הפועל ב""ש - מ.ס. אשדוד",20:34,0-5
81,04/12/2016,בני סכנין - הפועל רעננה,19:00,1-1
82,04/12/2016,"בני יהודה ת""א - הפועל ת""א",20:15,1-0
83,05/12/2016,"מכבי חיפה - בית""ר י-ם",21:00,2-0
84,10/12/2016,"הפועל ת""א - בני סכנין",16:00,1-1
85,10/12/2016,"הפועל כפ""ס - הפועל ק""ש",18:00,2-2
86,10/12/2016,"הפועל ע. אשקלון - בני יהודה ת""א",18:15,0-1
87,10/12/2016,הפועל רעננה - מכבי חיפה,20:30,1-1
88,11/12/2016,"מ.ס. אשדוד - מכבי ע. פ""ת",19:00,2-2
89,11/12/2016,"הפועל חיפה - מכבי ת""א",20:16,4-2
90,12/12/2016,"בית""ר י-ם - הפועל ב""ש",21:00,3-1
91,17/12/2016,"הפועל כפ""ס - מכבי ת""א",16:10,1-1
92,17/12/2016,"מ.ס. אשדוד - הפועל ק""ש",18:02,0-0
93,17/12/2016,"בני סכנין - בני יהודה ת""א",18:23,1-1
94,17/12/2016,"בית""ר י-ם - מכבי ע. פ""ת",20:30,1-1
95,18/12/2016,הפועל חיפה - הפועל ע. אשקלון,19:00,1-3
96,18/12/2016,"הפועל רעננה - הפועל ב""ש",20:15,0-1
97,19/12/2016,"הפועל ת""א - מכבי חיפה",21:00,2-0
98,24/12/2016,"בני יהודה ת""א - הפועל חיפה",16:00,1-1
99,24/12/2016,"הפועל ע. אשקלון - הפועל כפ""ס",18:00,0-0
100,24/12/2016,"מכבי ת""א - מ.ס. אשדוד",18:15,0-1
101,24/12/2016,"הפועל ק""ש - בית""ר י-ם",20:30,0-2
102,25/12/2016,"מכבי ע. פ""ת - הפועל רעננה",19:00,0-2
103,25/12/2016,"הפועל ב""ש - הפועל ת""א",21:03,1-1
104,26/12/2016,מכבי חיפה - בני סכנין,20:30,2-1
105,31/12/2016,"הפועל כפ""ס - הפועל חיפה",16:00,2-1
106,31/12/2016,"הפועל רעננה - הפועל ק""ש",18:00,3-0
107,31/12/2016,"מכבי חיפה - בני יהודה ת""א",18:15,1-1
108,31/12/2016,"הפועל ת""א - מכבי ע. פ""ת",20:30,1-0
109,01/01/2017,מ.ס. אשדוד - הפועל ע. אשקלון,19:00,0-1
110,01/01/2017,"בני סכנין - הפועל ב""ש",20:15,0-0
111,02/01/2017,"בית""ר י-ם - מכבי ת""א",21:00,0-1
112,10/01/2017,"מכבי ע. פ""ת - בני סכנין",19:00,1-1
113,10/01/2017,"הפועל ע. אשקלון - בית""ר י-ם",19:45,1-1
114,10/01/2017,"הפועל ב""ש - מכבי חיפה",21:00,0-2
115,11/01/2017,"בני יהודה ת""א - הפועל כפ""ס",19:30,1-1
116,11/01/2017,"מכבי ת""א - הפועל רעננה",20:00,1-4
117,11/01/2017,הפועל חיפה - מ.ס. אשדוד,21:00,1-0
118,12/01/2017,"הפועל ק""ש - הפועל ת""א",20:00,1-2
